Abbey Street  	 thursday-1
Coltbridge Gardens  	 wednesday-1
Coltbridge Terrace  	 wednesday-1
Coltbridge Vale  	 wednesday-1
Columba Avenue  	 wednesday-2
Columba Road  	 wednesday-2
Colville Place  	 tuesday-2
Combe Road  	 thursday-2
Comely Bank  	 thursday-2
Comely Bank Avenue  	 thursday-2
Comely Bank Grove  	 thursday-2
Comely Bank Place  	 thursday-2
Comely Bank Place Mews  	 tuesday-2
Comely Bank Road  	 thursday-2
Comely Bank Row  	 thursday-2
Comely Bank Street  	 thursday-2
Comely Bank Terrace  	 thursday-2
Comiston Drive  	 thursday-1
Comiston Gardens  	 thursday-1
Comiston Grove  	 thursday-2
Comiston Place  	 wednesday-2
Comiston Rise  	 thursday-2
Comiston Road  	 thursday-1
Comiston Springs Avenue  	 thursday-2
Comiston Terrace  	 wednesday-2
Comiston View  	 thursday-2
Commercial Street  	 friday-1
Connaught Place  	 friday-1
Considine Gardens  	 thursday-1
Considine Terrace  	 thursday-1
Corbiehill Avenue  	 wednesday-2
Corbiehill Crescent  	 thursday-1
Corbiehill Gardens  	 wednesday-2
Corbiehill Grove  	 wednesday-2
Corbiehill Park  	 wednesday-2
Corbiehill Place  	 thursday-1
Corbiehill Road  	 wednesday-2
Corbiehill Terrace  	 thursday-1
Corbieshot  	 thursday-1
Corbiewynd  	 thursday-1
Cornfield Crescent  	 thursday-2
Cornhill Terrace  	 thursday-2
Corrennie Drive  	 wednesday-2
Corrennie Gardens  	 wednesday-2
Corrigan Street  	 thursday-1
Corslet Crescent  	 tuesday-1
Corslet Road  	 tuesday-1
Corstorphine Bank Avenue  	 wednesday-2
Corstorphine Bank Drive  	 wednesday-2
Corstorphine Bank Terrace  	 wednesday-2
Corstorphine High Street  	 wednesday-2
Corstorphine Hill Avenue  	 friday-2
Corstorphine Hill Crescent  	 friday-2
Corstorphine Hill Gardens  	 friday-2
Corstorphine Hill Road  	 friday-2
Corstorphine House Avenue  	 friday-2
Corstorphine House Terrace  	 friday-2
Corstorphine Park Gardens  	 friday-2
Cotlaws  	 thursday-1
Cottage Green  	 wednesday-1
Cottage Park  	 friday-1
Coulter Crescent  	 thursday-2
Cowan Road  	 friday-1
Cowan's Close  	 thursday-1
Cowgill Gardens  	 thursday-2
Craigcrook Avenue  	 friday-1
Craigcrook Gardens  	 wednesday-2
Craigcrook Grove  	 friday-1
Craigcrook Park  	 friday-1
Craigcrook Place  	 wednesday-2
Craigcrook Square  	 friday-1
Craigcrook Terrace  	 wednesday-2
Craigentarrie Mews  	 wednesday-1
Craigentinny Avenue North  	 wednesday-1
Craigentinny Crescent  	 tuesday-2
Craigentinny Grove  	 tuesday-2
Craigentinny Place  	 friday-2
Craighall Avenue  	 tuesday-1
Craighall Bank  	 tuesday-1
Craighall Crescent  	 tuesday-1
Craighall Gardens  	 tuesday-1
Craighall Road  	 tuesday-1
Craighall Terrace  	 tuesday-1
Craighill Gardens  	 thursday-1
Craighouse Avenue  	 thursday-1
Craighouse Gardens  	 thursday-1
Craighouse Park  	 thursday-1
Craighouse Road  	 thursday-1
Craighouse Terrace  	 thursday-1
Craigievar Square  	 friday-2
Craigievar Wynd  	 friday-2
Craiglea Drive  	 thursday-1
Craiglea Place  	 thursday-1
Craigleith Avenue North  	 wednesday-2
Craigleith Bank  	 wednesday-2
Craigleith Drive  	 wednesday-2
Craigleith Gardens  	 wednesday-2
Craigleith Grove  	 wednesday-2
Craigleith Hill  	 wednesday-2
Craigleith Hill Avenue  	 wednesday-2
Craigleith Hill Crescent  	 wednesday-2
Craigleith Hill Gardens  	 wednesday-2
Craigleith Hill Green  	 wednesday-2
Craigleith Hill Grove  	 wednesday-2
Craigleith Hill Loan  	 wednesday-2
Craigleith Hill Park  	 wednesday-2
Craigleith Hill Row  	 wednesday-2
Craigleith Rise  	 tuesday-1
Craigleith Road  	 wednesday-2
Craigleith View  	 tuesday-1
Craiglockhart Avenue  	 wednesday-1
Craiglockhart Bank  	 wednesday-1
Craiglockhart Crescent  	 wednesday-1
Craiglockhart Dell Road  	 wednesday-1
Craiglockhart Drive North  	 wednesday-1
Craiglockhart Drive South  	 wednesday-1
Craiglockhart Gardens  	 wednesday-1
Craiglockhart Grove  	 wednesday-1
Craiglockhart Loan  	 wednesday-1
Craiglockhart Park  	 wednesday-1
Craiglockhart Place  	 wednesday-1
Craiglockhart Quadrant  	 wednesday-1
Craiglockhart Road  	 wednesday-1
Craiglockhart Terrace  	 friday-1
Craiglockhart View  	 tuesday-1
Craigmillar Castle Avenue  	 tuesday-2
Craigmillar Castle Gardens  	 tuesday-2
Craigmillar Castle Loan  	 tuesday-2
Craigmillar Castle Road  	 tuesday-2
Craigmillar Park  	 tuesday-1
Craigmount Avenue  	 thursday-2
Craigmount Avenue North  	 thursday-2
Craigmount Bank  	 thursday-2
Craigmount Bank West  	 thursday-2
Craigmount Brae  	 thursday-2
Craigmount Court  	 thursday-2
Craigmount Crescent  	 thursday-2
Craigmount Drive  	 thursday-2
Craigmount Gardens  	 thursday-2
Craigmount Grove  	 thursday-2
Craigmount Grove North  	 thursday-2
Craigmount Hill  	 thursday-2
Craigmount Loan  	 thursday-2
Craigmount Park  	 thursday-2
Craigmount Place  	 thursday-2
Craigmount Terrace  	 thursday-2
Craigmount View  	 thursday-2
Craigmount Way  	 thursday-2
Craigmuir Place  	 friday-2
Craigour Avenue  	 friday-1
Craigour Crescent  	 friday-1
Craigour Drive  	 friday-1
Craigour Gardens  	 friday-1
Craigour Grove  	 friday-1
Craigour Loan  	 friday-1
Craigour Terrace  	 friday-1
Craigpark Avenue  	 wednesday-2
Craigpark Crescent  	 wednesday-2
Craigroyston Grove  	 thursday-2
Craigroyston Place  	 thursday-2
Craigs Avenue  	 friday-1
Craigs Bank  	 friday-1
Craigs Crescent  	 friday-1
Craigs Drive  	 friday-2
Craigs Gardens  	 friday-1
Craigs Grove  	 friday-1
Craigs Loan  	 friday-1
Craigs Park  	 friday-2
Cramond Avenue  	 wednesday-1
Cramond Bank  	 wednesday-1
Cramond Bridge  	 tuesday-1
Cramond Crescent  	 wednesday-1
Cramond Gardens  	 wednesday-1
Cramond Glebe Gardens  	 wednesday-1
Cramond Glebe Road  	 wednesday-1
Cramond Glebe Terrace  	 wednesday-1
Cramond Green  	 wednesday-1
Cramond Grove  	 wednesday-1
Cramond Park  	 wednesday-1
Cramond Place  	 wednesday-1
Cramond Regis  	 wednesday-1
Cramond Road North  	 wednesday-1
Cramond Road South  	 thursday-1
Cramond Terrace  	 wednesday-1
Cramond Vale  	 wednesday-1
Cramond Village  	 wednesday-1
Crarae Avenue  	 tuesday-1
Craw Yard Drive  	 friday-1
Craw Yard Place  	 friday-1
Craw's Close  	 wednesday-1
Crawford Gait  	 tuesday-2
Crawford Green  	 tuesday-2
Crawfurd Road  	 tuesday-1
Crewe Bank  	 friday-2
Crewe Crescent  	 friday-2
Crewe Grove  	 friday-2
Crewe Loan  	 friday-2
Crewe Place  	 friday-2
Crewe Road Gardens  	 friday-2
Crewe Road North  	 tuesday-2
Crewe Road West  	 tuesday-2
Crewe Terrace  	 friday-2
Cromwell Place  	 friday-1
Crosswood Avenue  	 thursday-1
Crosswood Crescent  	 thursday-1
Cuddy Lane  	 tuesday-2
Cullet Walk  	 tuesday-2
Cumberland Street  	 tuesday-2
Cumberland Street South East Lane  	 tuesday-2
Cumin Place  	 wednesday-1
Cumlodden Avenue  	 tuesday-1
Cumnor Crescent  	 friday-1
Curriehill Castle Drive  	 wednesday-1
Currievale Drive  	 friday-2
Currievale Farm  	 friday-1
Currievale Park  	 friday-2
Currievale Park Grove  	 friday-2
Daiches Braes  	 wednesday-1
Daisy Terrace  	 wednesday-1
Dalgety Avenue  	 thursday-1
Dalgety Road  	 thursday-1
Dalgety Street  	 thursday-1
Dalhousie Terrace  	 thursday-1
Dalkeith Road  	 thursday-1
Dalkeith Street  	 tuesday-1
Dalmahoy  	 tuesday-1
Dalmahoy Crescent  	 friday-1
Dalmahoy Road  	 wednesday-2
Dalmeny Estate  	 tuesday-1
Dalmeny Road  	 friday-1
Dalmeny Street  	 thursday-1
Dalry Road  	 wednesday-1
Dalrymple Crescent  	 tuesday-1
Dalziel Place  	 thursday-1
Damselfly Road  	 thursday-2
Damselfly View  	 thursday-2
Dania Court  	 tuesday-2
Danube Street  	 thursday-2
Darnaway Street  	 tuesday-2
Darnell Road  	 wednesday-1
Darnley Terrace  	 tuesday-2
Davidson Gardens  	 thursday-1
Davidson Park  	 tuesday-2
Davidson Road  	 tuesday-2
Dean Bank Lane  	 tuesday-2
Dean Park Crescent  	 thursday-2
Dean Park Mews  	 thursday-2
Dean Park Street  	 thursday-2
Dean Path  	 wednesday-1
Dean Street  	 thursday-2
Deanpark Avenue  	 thursday-1
Deanpark Bank  	 thursday-1
Deanpark Brae  	 thursday-1
Deanpark Court  	 thursday-1
Deanpark Crescent  	 thursday-1
Deanpark Gardens  	 thursday-1
Deanpark Grove  	 thursday-1
Deanpark Place  	 thursday-1
Deanpark Square  	 thursday-1
Dechmont Road  	 friday-1
Dell Road  	 thursday-1
Denham Green Avenue  	 wednesday-1
Denham Green Place  	 wednesday-1
Denham Green Terrace  	 wednesday-1
Derby Street  	 thursday-2
Devon Gardens  	 wednesday-1
Devon Place  	 wednesday-1
Dick Place  	 wednesday-1
Dickson Street  	 thursday-1
Dimma Park  	 tuesday-2
Dinmont Drive  	 friday-1
Dochart Drive  	 thursday-2
Dock Street  	 friday-1
Dolphin Avenue  	 wednesday-1
Dolphin Gardens East  	 wednesday-1
Dolphin Gardens West  	 wednesday-1
Dolphin Road  	 wednesday-1
Donaldson Crescent  	 tuesday-1
Double Hedges Park  	 friday-1
Double Hedges Road  	 friday-1
Douglas Crescent  	 tuesday-1
Douglas Gardens  	 wednesday-1
Douglas Terrace  	 wednesday-1
Doune Terrace  	 tuesday-2
Dovecot Grove  	 thursday-2
Dovecot Loan  	 thursday-2
Dovecot Park  	 thursday-2
Dovecot Road  	 tuesday-2
Dowies Mill Lane  	 wednesday-1
Downie Grove  	 friday-2
Downie Terrace  	 friday-2
Dreghorn Drive  	 friday-1
Dreghorn Gardens  	 friday-1
Dreghorn Link  	 friday-1
Dreghorn Loan  	 tuesday-2
Dreghorn Park  	 thursday-1
Dreghorn Place  	 friday-1
Drum Avenue  	 friday-1
Drum Brae Avenue  	 thursday-2
Drum Brae Crescent  	 thursday-2
Drum Brae Gardens  	 thursday-2
Drum Brae Grove  	 thursday-2
Drum Brae Neuk  	 thursday-2
Drum Brae Park  	 thursday-2
Drum Brae Park Approach  	 thursday-2
Drum Brae Place  	 thursday-2
Drum Brae South  	 thursday-2
Drum Brae Terrace  	 thursday-2
Drum Brae Walk  	 thursday-2
Drum Cottages  	 friday-2
Drum Crescent  	 friday-1
Drum Place  	 friday-1
Drum Woods  	 friday-1
Drummond Place  	 tuesday-2
Drumsheugh Gardens  	 tuesday-1
Dryden Gait  	 thursday-1
Dryden Gardens  	 thursday-1
Dryden Place  	 thursday-1
Dryden Street  	 thursday-1
Dryden Terrace  	 thursday-1
Drylaw Avenue  	 wednesday-2
Drylaw Crescent  	 wednesday-2
Drylaw Gardens  	 wednesday-2
Drylaw Green  	 wednesday-2
Drylaw Grove  	 wednesday-2
Drylaw House Gardens  	 friday-2
Drylaw House Paddock  	 friday-2
Duart Crescent  	 thursday-2
Dublin Street  	 tuesday-2
Dublin Street Lane North  	 tuesday-2
Dublin Street Lane South  	 tuesday-2
Duddingston Avenue  	 thursday-2
Duddingston Crescent  	 wednesday-1
Duddingston Gardens North  	 friday-2
Duddingston Gardens South  	 friday-2
Duddingston Grove East  	 friday-2
Duddingston Grove West  	 friday-2
Duddingston Loan  	 thursday-2
Duddingston Mains Cottages  	 wednesday-1
Duddingston Mills  	 thursday-2
Duddingston Park  	 wednesday-1
Duddingston Park South  	 thursday-1
Duddingston Rise  	 friday-2
Duddingston Road  	 thursday-2
Duddingston Row  	 friday-2
Duddingston Square East  	 friday-2
Duddingston Square West  	 friday-2
Duddingston View  	 friday-2
Dudgeon Place  	 tuesday-2
Dudley Avenue  	 friday-1
Dudley Bank  	 friday-1
Dudley Crescent  	 friday-1
Dudley Gardens  	 friday-1
Dudley Grove  	 friday-1
Dudley Terrace  	 friday-1
Duff Street  	 tuesday-1
Duke Street  	 wednesday-1
Dumbeg Park  	 wednesday-2
Dumbryden Gardens  	 wednesday-2
Duncan Street  	 tuesday-1
Dundas Avenue  	 wednesday-1
Dundas Home Farm  	 tuesday-1
Dundas Place  	 tuesday-2
Dundas Street  	 tuesday-2
Dundee Terrace  	 friday-1
Dundrennan Cottages  	 wednesday-2
Dunedin Street  	 friday-1
Dunipace Road  	 friday-1
Dunkeld Street  	 tuesday-2
Dunlaw Wynd  	 thursday-2
Dunnet Grove  	 thursday-2
Dunnikier Way  	 wednesday-2
Dunollie Court  	 friday-2
Dunrobin Place  	 tuesday-2
Dunsmuir Court  	 wednesday-2
Duntreath Place  	 tuesday-2
Duntreath Road  	 tuesday-2
Dunvegan Court  	 wednesday-1
Durar Drive  	 thursday-2
Durham Avenue  	 friday-2
Durham Drive  	 friday-2
Durham Gardens North  	 friday-2
Durham Gardens South  	 friday-2
Durham Grove  	 friday-2
Durham Place East  	 friday-2
Durham Road  	 friday-2
Durham Road South  	 friday-2
Durham Square  	 friday-2
Durham Terrace  	 thursday-2
Durie Loan  	 thursday-2
Durward Grove  	 friday-1
East Barnton Avenue  	 thursday-1
East Barnton Gardens  	 thursday-1
East Brighton Crescent  	 wednesday-1
East Caiystane Place  	 thursday-1
East Caiystane Road  	 thursday-1
East Camus Place  	 thursday-2
East Castle Road  	 tuesday-2
East Champanyie  	 tuesday-2
East Clapperfield  	 friday-1
East Claremont Street  	 thursday-1
East Comiston  	 thursday-2
East Craigs Rigg  	 friday-1
East Craigs Wynd  	 friday-1
East Croft  	 wednesday-2
East Farm Of Gilmerton  	 friday-1
East Fettes Avenue  	 thursday-2
East Hannahfield  	 friday-1
East Hermitage Place  	 wednesday-1
East Kilngate Place  	 friday-2
East Kilngate Rigg  	 friday-2
East Kilngate Wynd  	 friday-2
East Lillypot  	 tuesday-1
East London Street  	 tuesday-2
East Market Street  	 thursday-1
East Mayfield  	 thursday-1
East Newington Place  	 wednesday-2
East Parkside  	 wednesday-2
East Pilton Farm Crescent  	 thursday-1
East Pilton Farm Wynd  	 thursday-1
East Preston Street  	 wednesday-2
East Restalrig Terrace  	 thursday-2
East Savile Road  	 tuesday-1
East Scotland Street Lane  	 tuesday-2
East Suffolk Park  	 tuesday-1
East Suffolk Road  	 tuesday-1
East Terrace  	 tuesday-1
Easter Belmont Road  	 thursday-1
Easter Currie Court  	 friday-2
Easter Currie Crescent  	 tuesday-1
Easter Currie Place  	 tuesday-1
Easter Currie Terrace  	 tuesday-1
Easter Dalmeny  	 tuesday-1
Easter Drylaw Avenue  	 friday-2
Easter Drylaw Bank  	 friday-2
Easter Drylaw Drive  	 friday-2
Easter Drylaw Gardens  	 friday-2
Easter Drylaw Grove  	 friday-2
Easter Drylaw Loan  	 friday-2
Easter Drylaw Place  	 friday-2
Easter Drylaw View  	 friday-2
Easter Drylaw Way  	 friday-2
Easter Hermitage  	 wednesday-1
Easter Park Drive  	 thursday-1
Easter Road  	 thursday-1
Easter Steil  	 tuesday-1
Easter Warriston  	 tuesday-2
Eastfield  	 tuesday-1
Eastfield Gardens  	 tuesday-1
Eastfield Place  	 tuesday-1
Echline  	 tuesday-1
Echline Drive  	 tuesday-1
Echline Gardens  	 tuesday-1
Echline Green  	 tuesday-1
Echline Grove  	 tuesday-1
Echline Park  	 tuesday-1
Echline Place  	 tuesday-1
Echline Terrace  	 tuesday-1
Echline View  	 tuesday-1
Eden Lane  	 tuesday-2
Eden Terrace  	 tuesday-2
Edgelaw Rigg  	 thursday-2
Edwards Wynd  	 friday-1
Eglinton Crescent  	 tuesday-1
Eildon Street  	 friday-1
Eildon Terrace  	 friday-1
Eilston Drive  	 thursday-1
Eilston Loan  	 thursday-1
Eilston Road  	 thursday-1
Eilston Terrace  	 thursday-1
Elcho Terrace  	 tuesday-1
Elgin Street  	 thursday-1
Elgin Terrace  	 thursday-1
Eliza Wigham Bow  	 thursday-2
Ellangowan Terrace  	 wednesday-2
Ellen's Glen Loan  	 wednesday-2
Ellersly Road  	 tuesday-1
Elliot Gardens  	 wednesday-1
Elliot Park  	 wednesday-1
Elliot Place  	 wednesday-1
Elliot Road  	 wednesday-1
Ellis Drive  	 tuesday-2
Ellis Street  	 wednesday-2
Elm Place  	 thursday-2
Elmwood Terrace  	 thursday-2
Eltringham Gardens  	 friday-2
Eltringham Grove  	 friday-2
Eltringham Terrace  	 wednesday-1
Erroll Drive  	 tuesday-2
Esdaile Bank  	 wednesday-2
Esplanade Terrace  	 friday-2
Essendean Place  	 thursday-2
Essendean Terrace  	 thursday-2
Essex Brae  	 wednesday-1
Essex Park  	 wednesday-1
Essex Road  	 wednesday-1
Esslemont Road  	 tuesday-1
Ethel Terrace  	 thursday-1
Eton Terrace  	 thursday-2
Ettrick Grove  	 tuesday-2
Ettrick Loan  	 friday-1
Ettrick Road  	 friday-1
Ettrickdale Place  	 tuesday-2
Eva Place  	 tuesday-2
Ewerland  	 tuesday-1
Eyre Crescent  	 tuesday-2
Eyre Place  	 tuesday-2
Eyre Place Lane  	 tuesday-2
Fair-a-far  	 wednesday-1
Fair-a-far Shot  	 wednesday-1
Fairbairn Street  	 friday-1
Fairbrae  	 thursday-2
Fairfield Gardens  	 friday-2
Fairford Gardens  	 friday-1
Fairholm Mews  	 wednesday-2
Fairmile Avenue  	 thursday-1
Fala Place  	 wednesday-2
Falcon Avenue  	 tuesday-2
Falcon Court  	 wednesday-2
Falcon Gardens  	 tuesday-2
Falcon Road  	 tuesday-2
Falcon Road West  	 tuesday-2
Falkland Gardens  	 thursday-2
Farquhar Terrace  	 tuesday-1
Farrer Grove  	 tuesday-2
Farrer Terrace  	 tuesday-2
Fauldburn  	 friday-2
Fauldburn Park  	 friday-2
Featherhall Avenue  	 wednesday-2
Featherhall Crescent North  	 wednesday-2
Featherhall Crescent South  	 wednesday-2
Featherhall Grove  	 wednesday-2
Featherhall Place  	 thursday-1
Featherhall Road  	 wednesday-2
Featherhall Terrace  	 thursday-1
Ferguson Rigg  	 thursday-1
Fernieflat Neuk  	 thursday-2
Ferniehill Avenue  	 friday-1
Ferniehill Drive  	 friday-1
Ferniehill Gardens  	 friday-1
Ferniehill Grove  	 friday-1
Ferniehill Place  	 friday-1
Ferniehill Road  	 friday-1
Ferniehill Square  	 friday-1
Ferniehill Street  	 friday-1
Ferniehill Terrace  	 friday-1
Ferniehill Way  	 friday-1
Fernielaw Avenue  	 tuesday-2
Fernieside Avenue  	 friday-1
Fernieside Crescent  	 friday-1
Fernieside Drive  	 friday-1
Fernieside Gardens  	 friday-1
Fernieside Grove  	 friday-1
Fernieside Place  	 friday-1
Ferrier Medway  	 friday-2
Ferry Gait Drive  	 thursday-2
Ferry Gait Gardens  	 thursday-2
Ferry Gait Walk  	 thursday-2
Ferry Road  	 friday-1
Ferry Road Avenue  	 friday-2
Ferry Road Drive  	 friday-2
Ferry Road Gardens  	 friday-2
Ferry Road Grove  	 friday-2
Ferry Road Place  	 friday-2
Ferryburn  	 wednesday-1
Ferryburn Green  	 wednesday-1
Ferryfield  	 thursday-1
Ferrymuir Lane  	 wednesday-1
Fettes Rise  	 friday-1
Fettes Row  	 tuesday-2
Fillyside Avenue  	 tuesday-2
Fillyside Road  	 tuesday-2
Fillyside Terrace  	 tuesday-2
Findhorn Place  	 tuesday-1
Findlay Avenue  	 wednesday-1
Findlay Cottages  	 tuesday-1
Findlay Gardens  	 tuesday-1
Findlay Grove  	 tuesday-1
Findlay Medway  	 tuesday-1
Fingal Place  	 wednesday-1
Finlaggan Court  	 friday-2
Fireclay Walk  	 thursday-1
Firrhill Crescent  	 tuesday-1
Firrhill Loan  	 tuesday-1
Firrhill Park  	 wednesday-1
Fisher Place  	 wednesday-2
Fishwives Causeway  	 tuesday-2
Fleming Place  	 tuesday-1
Fletcher Crescent  	 friday-1
Flint Terrace  	 tuesday-2
Flockhart Gait  	 thursday-1
Florence Mcneill Street  	 friday-2
Forbes Road  	 tuesday-2
Forbes Street  	 wednesday-2
Ford's Road  	 tuesday-2
Forrester Park Avenue  	 tuesday-2
Forrester Park Drive  	 tuesday-2
Forrester Park Gardens  	 tuesday-2
Forrester Park Green  	 tuesday-2
Forrester Park Grove  	 tuesday-2
Forrester Park Loan  	 tuesday-2
Forrester Road  	 friday-2
Forth Park  	 wednesday-1
Forth Place  	 tuesday-1
Forth Street  	 tuesday-2
Forth Terrace  	 wednesday-1
Forth View Avenue  	 wednesday-1
Forth View Road  	 wednesday-1
Forthview Road  	 wednesday-2
Forthview Terrace  	 wednesday-2
Foulis Crescent  	 tuesday-1
Fountainhall Road  	 tuesday-1
Fowler Terrace  	 friday-1
Fox Covert Avenue  	 thursday-2
Fox Covert Grove  	 thursday-2
Fox Spring Crescent  	 thursday-2
Fox Spring Rise  	 thursday-2
Fraser Avenue  	 thursday-1
Fraser Crescent  	 thursday-1
Fraser Gardens  	 thursday-1
Fraser Grove  	 thursday-1
Freelands Road  	 wednesday-2
Freelands Way  	 wednesday-2
Friary Road  	 tuesday-2
Frogston Avenue  	 tuesday-1
Frogston Gardens  	 tuesday-1
Frogston Grove  	 tuesday-1
Frogston Road East  	 wednesday-2
Frogston Road West  	 tuesday-1
Frogston Terrace  	 tuesday-1
Fyfe Way  	 wednesday-1
Galachlaw Shot  	 tuesday-1
Galachlawside  	 tuesday-1
Galvane Road  	 tuesday-2
Gamekeeper's Loan  	 wednesday-1
Gamekeeper's Park  	 wednesday-1
Gamekeeper's Road  	 wednesday-1
Gardiner Grove  	 wednesday-2
Gardiner Road  	 wednesday-2
Gardiner Terrace  	 wednesday-2
Gardner's Crescent  	 wednesday-1
Garscube Terrace  	 tuesday-1
Garvald Street  	 wednesday-2
Gayfield Square  	 tuesday-2
Gifford Crescent  	 friday-1
Gilberstoun  	 wednesday-1
Gilberstoun Brig  	 wednesday-1
Gilberstoun Loan  	 wednesday-1
Gilberstoun Place  	 wednesday-1
Gilberstoun Wynd  	 wednesday-1
Gillespie Crescent  	 tuesday-2
Gillespie Road  	 thursday-2
Gillespie Street  	 tuesday-2
Gillon Drive  	 friday-1
Gillsland Park  	 friday-1
Gillsland Road  	 friday-1
Gilmerton Dykes Avenue  	 friday-2
Gilmerton Dykes Crescent  	 friday-2
Gilmerton Dykes Drive  	 friday-2
Gilmerton Dykes Gardens  	 friday-2
Gilmerton Dykes Grove  	 friday-2
Gilmerton Dykes Loan  	 friday-2
Gilmerton Dykes Place  	 friday-2
Gilmerton Dykes Road  	 friday-2
Gilmerton Dykes Street  	 friday-2
Gilmerton Dykes Terrace  	 friday-2
Gilmerton Dykes View  	 friday-2
Gilmerton Place  	 friday-2
Gilmerton Station Road  	 friday-2
Gilmore Place  	 tuesday-2
Gilmour Road  	 tuesday-1
Gladhouse Place  	 friday-2
Gladstone Place  	 wednesday-1
Gladstone Terrace  	 wednesday-1
Glebe Gardens  	 thursday-1
Glebe Grove  	 thursday-1
Glebe Road  	 thursday-1
Glebe Terrace  	 thursday-1
Glen Street  	 wednesday-1
Glenallan Drive  	 friday-1
Glenallan Loan  	 friday-1
Glenalmond Place  	 thursday-2
Glenbrook  	 friday-1
Glenbrook Road  	 friday-1
Glencairn Crescent  	 tuesday-1
Glendevon Avenue  	 wednesday-1
Glendevon Gardens  	 thursday-1
Glendevon Grove  	 thursday-1
Glendevon Park  	 wednesday-1
Glendevon Place  	 wednesday-1
Glendevon Road  	 wednesday-1
Glendevon Terrace  	 thursday-1
Glendinning Crescent  	 friday-1
Glendinning Drive  	 thursday-1
Glendinning Place  	 thursday-1
Glendinning Road  	 thursday-1
Glendinning Way  	 thursday-1
Glenfinlas Street  	 wednesday-1
Glengyle Terrace  	 wednesday-1
Glenisla Gardens  	 tuesday-2
Glenisla Gardens Lane  	 tuesday-2
Glenlea Cottages  	 friday-2
Glenlee Avenue  	 thursday-2
Glenlee Gardens  	 thursday-2
Glenlockhart Bank  	 tuesday-1
Glenlockhart Road  	 tuesday-1
Glenlockhart Valley  	 tuesday-1
Glenogle House  	 tuesday-2
Glenogle Place  	 tuesday-2
Glenogle Terrace  	 tuesday-2
Glenorchy Terrace  	 wednesday-2
Glenure Loan  	 thursday-2
Glenvarloch Crescent  	 friday-1
Gloucester Square  	 tuesday-2
Goff Avenue  	 tuesday-2
Gogar Station Road  	 friday-2
Gogarbank  	 tuesday-1
Gogarloch Bank  	 friday-1
Gogarloch Haugh  	 friday-1
Gogarloch Muir  	 friday-1
Gogarloch Road  	 friday-1
Gogarloch Syke  	 friday-1
Gogarmuir Road  	 tuesday-1
Gogarstone Road  	 tuesday-1
Goldenacre Terrace  	 friday-1
Goldeneye Drive  	 thursday-2
Goldeneye Gait  	 thursday-2
Goodtrees Gardens  	 friday-2
Goodtrees Terrace  	 friday-2
Gordon Loan  	 friday-2
Gordon Road  	 friday-2
Gordon Terrace  	 wednesday-2
Gorgie Road  	 friday-2
Gosford Place  	 thursday-2
Gospatric Gardens  	 wednesday-1
Gracemount Avenue  	 wednesday-2
Gracemount Drive  	 wednesday-2
Gracemount House Drive  	 thursday-2
Gracemount Place  	 wednesday-2
Gracemount Road  	 wednesday-2
Gracemount Square  	 wednesday-2
Granby Road  	 tuesday-1
Grandison Drive  	 friday-1
Grange Crescent  	 wednesday-1
Grange Loan Gardens  	 wednesday-1
Grange Road  	 wednesday-1
Grange Terrace  	 wednesday-1
Grant Avenue  	 tuesday-2
Granton Crescent  	 friday-2
Granton Gardens  	 thursday-1
Granton Grove  	 thursday-1
Granton Mains Avenue  	 tuesday-2
Granton Mains Bank  	 tuesday-2
Granton Mains Brae  	 tuesday-2
Granton Mains Court  	 tuesday-2
Granton Mains East  	 tuesday-2
Granton Mains Gait  	 tuesday-2
Granton Mains Vale  	 tuesday-2
Granton Mains Wynd  	 tuesday-2
Granton Medway  	 wednesday-1
Granton Mill Crescent  	 tuesday-2
Granton Mill Drive  	 tuesday-2
Granton Mill March  	 friday-2
Granton Mill Park  	 tuesday-2
Granton Mill Place  	 tuesday-2
Granton Mill Road  	 tuesday-2
Granton Mill West  	 tuesday-2
Granton Park Avenue  	 wednesday-1
Granton Park Avenue North  	 wednesday-1
Granton Place  	 thursday-2
Granton Road  	 wednesday-1
Granton Square  	 wednesday-1
Granton Terrace  	 thursday-2
Granton View  	 thursday-1
Granville Terrace  	 tuesday-2
Grassie Avenue  	 thursday-1
Gray's Loan  	 friday-1
Great Carleton Place  	 tuesday-2
Great Carleton Square  	 tuesday-2
Great King Street  	 tuesday-2
Great Stuart Street  	 wednesday-1
Greenbank Avenue  	 wednesday-2
Greenbank Crescent  	 wednesday-1
Greenbank Drive  	 wednesday-1
Greenbank Gardens  	 wednesday-1
Greenbank Grove  	 wednesday-1
Greenbank Lane  	 wednesday-1
Greenbank Loan  	 wednesday-1
Greenbank Park  	 wednesday-1
Greenbank Place  	 wednesday-2
Greenbank Rise  	 wednesday-1
Greenbank Road  	 wednesday-1
Greenbank Row  	 wednesday-1
Greencraig Drive  	 friday-2
Greendale Park  	 thursday-2
Greendykes Road  	 tuesday-2
Greenend Drive  	 friday-2
Greenend Gardens  	 friday-2
Greenend Grove  	 friday-2
Greenfield Crescent  	 thursday-1
Greenfield Road  	 thursday-1
Greenhill Gardens  	 tuesday-2
Greenhill Park  	 tuesday-2
Greenhill Place  	 tuesday-2
Greenhill Terrace  	 tuesday-2
Greenlaw Hedge  	 wednesday-1
Greenlaw Rig  	 tuesday-1
Greenmantle Loan  	 friday-1
Greenpark  	 friday-2
