Abbotsford Crescent  	 tuesday-2
Clippens Drive  	 thursday-1
Clovenstone Drive  	 wednesday-1
Clovenstone Gardens  	 wednesday-1
Clovenstone Park  	 wednesday-1
Clufflat  	 thursday-1
Clufflat Brae  	 thursday-1
Cluny Avenue  	 tuesday-2
Cluny Drive  	 tuesday-1
Cluny Place  	 tuesday-1
Cluny Terrace  	 tuesday-2
Coates Crescent  	 tuesday-1
Coates Gardens  	 tuesday-1
Coates Place  	 tuesday-1
Cobbler's Close  	 thursday-1
Cobden Crescent  	 wednesday-1
Cobden Road  	 wednesday-1
Cobden Terrace  	 tuesday-1
Coburg Street  	 wednesday-1
Cochran Terrace  	 wednesday-1
Cochrane Place  	 wednesday-1
Cockburn Crescent  	 wednesday-1
Cockburnhill Road  	 wednesday-1
Coillesdene Avenue  	 friday-2
Coillesdene Crescent  	 friday-2
Coillesdene Drive  	 friday-2
Coillesdene Gardens  	 friday-2
Coillesdene Grove  	 friday-2
Coillesdene Loan  	 friday-2
Coillesdene Terrace  	 friday-2
Colinton Grove  	 wednesday-2
Colinton Grove West  	 wednesday-2
Colinton Mains Crescent  	 tuesday-1
Colinton Mains Drive  	 tuesday-1
Colinton Mains Gardens  	 tuesday-1
Colinton Mains Green  	 tuesday-1
Colinton Mains Grove  	 tuesday-1
Colinton Mains Loan  	 tuesday-1
Colinton Mains Place  	 tuesday-1
Colinton Mains Road  	 tuesday-1
Colinton Mains Terrace  	 tuesday-1
Colinton Road  	 wednesday-2
Collier Place  	 friday-1
Collins Place  	 tuesday-1
Colmestone Gate  	 tuesday-1
Coltbridge Avenue  	 friday-1
Coltbridge Gardens  	 friday-1
Coltbridge Millside  	 friday-1
Coltbridge Terrace  	 friday-1
Coltbridge Vale  	 friday-1
Columba Avenue  	 friday-2
Columba Road  	 friday-2
Colville Place  	 tuesday-1
Combe Cruik  	 wednesday-1
Combe Road  	 wednesday-1
Comely Bank  	 tuesday-2
Comely Bank Grove  	 tuesday-1
Comely Bank Place Mews  	 tuesday-1
Comely Bank Road  	 tuesday-2
Comely Bank Street  	 tuesday-1
Comiston Drive  	 tuesday-1
Comiston Gardens  	 tuesday-1
Comiston Grove  	 tuesday-1
Comiston Place  	 tuesday-1
Comiston Rise  	 tuesday-1
Comiston Road  	 tuesday-1
Comiston Springs Avenue  	 tuesday-1
Comiston View  	 tuesday-1
Commercial Street  	 wednesday-1
Connaught Place  	 tuesday-2
Considine Gardens  	 wednesday-2
Considine Terrace  	 wednesday-2
Constitution Place  	 wednesday-1
Constitution Street  	 wednesday-1
Corbiehill Avenue  	 friday-2
Corbiehill Crescent  	 friday-1
Corbiehill Gardens  	 friday-2
Corbiehill Grove  	 friday-2
Corbiehill Park  	 friday-2
Corbiehill Place  	 friday-1
Corbiehill Road  	 friday-1
Corbiehill Terrace  	 friday-1
Corbieshot  	 friday-1
Corbiewynd  	 friday-1
Cornfield Crescent  	 friday-1
Cornhill Terrace  	 wednesday-1
Cornwallis Place  	 wednesday-1
Corrennie Drive  	 tuesday-1
Corrennie Gardens  	 tuesday-1
Corrigan Street  	 wednesday-1a
Corslet Crescent  	 wednesday-1
Corslet Place  	 wednesday-1
Corslet Road  	 wednesday-1
Corstorphine Bank Avenue  	 friday-1
Corstorphine Bank Drive  	 friday-1
Corstorphine Bank Terrace  	 friday-1
Corstorphine High Street  	 friday-1
Corstorphine Hill Avenue  	 friday-1
Corstorphine Hill Crescent  	 friday-1
Corstorphine Hill Gardens  	 friday-1
Corstorphine Hill Road  	 friday-1
Corstorphine House Avenue  	 friday-1
Corstorphine House Terrace  	 friday-1
Corstorphine Park Gardens  	 friday-1
Corstorphine Road  	 friday-2
Cotlaws  	 thursday-1
Cottage Green  	 friday-1
Cottage Park  	 friday-2
Coulter Crescent  	 thursday-2
Cove Crescent  	 wednesday-1
Cowan Road  	 tuesday-2
Cowgill Gardens  	 thursday-2
Craigcrook Avenue  	 friday-2
Craigcrook Gardens  	 friday-2
Craigcrook Grove  	 friday-2
Craigcrook Park  	 friday-2
Craigcrook Place  	 friday-2
Craigcrook Road  	 friday-2
Craigcrook Square  	 friday-2
Craigcrook Terrace  	 friday-2
Craigend Park  	 friday-1
Craigentarrie Mews  	 wednesday-1
Craigentinny Avenue  	 wednesday-2
Craigentinny Avenue North  	 wednesday-1
Craigentinny Crescent  	 wednesday-2
Craigentinny Grove  	 wednesday-2
Craigentinny Place  	 wednesday-2
Craigentinny Road  	 wednesday-2
Craighall Avenue  	 wednesday-1
Craighall Bank  	 wednesday-1
Craighall Crescent  	 tuesday-2
Craighall Gardens  	 tuesday-2
Craighall Terrace  	 tuesday-2
Craighill Gardens  	 tuesday-1
Craighouse Avenue  	 tuesday-1
Craighouse Gardens  	 tuesday-1
Craighouse Park  	 tuesday-1
Craighouse Road  	 tuesday-1
Craighouse Terrace  	 tuesday-1
Craigievar Square  	 thursday-2
Craigievar Wynd  	 thursday-2
Craiglea Drive  	 tuesday-1
Craiglea Place  	 tuesday-1
Craigleith Avenue North  	 friday-2
Craigleith Avenue South  	 friday-2
Craigleith Bank  	 friday-2
Craigleith Crescent  	 friday-2
Craigleith Drive  	 friday-2
Craigleith Gardens  	 friday-2
Craigleith Grove  	 friday-2
Craigleith Hill  	 tuesday-2
Craigleith Hill Avenue  	 tuesday-2
Craigleith Hill Crescent  	 tuesday-2
Craigleith Hill Gardens  	 tuesday-2
Craigleith Hill Green  	 tuesday-2
Craigleith Hill Grove  	 tuesday-2
Craigleith Hill Loan  	 tuesday-2
Craigleith Hill Park  	 tuesday-2
Craigleith Hill Row  	 tuesday-2
Craigleith Rise  	 friday-2
Craigleith View  	 friday-2
Craiglockhart Avenue  	 tuesday-2
Craiglockhart Bank  	 tuesday-2
Craiglockhart Crescent  	 tuesday-2
Craiglockhart Dell Road  	 tuesday-2
Craiglockhart Drive North  	 tuesday-2
Craiglockhart Drive South  	 tuesday-2
Craiglockhart Gardens  	 tuesday-2
Craiglockhart Grove  	 tuesday-2
Craiglockhart Loan  	 tuesday-2
Craiglockhart Park  	 tuesday-2
Craiglockhart Place  	 wednesday-2
Craiglockhart Quadrant  	 tuesday-2
Craiglockhart Road  	 tuesday-2
Craiglockhart Road North  	 tuesday-2
Craiglockhart Terrace  	 wednesday-2
Craiglockhart View  	 wednesday-2
Craigmillar Castle Avenue  	 friday-1
Craigmillar Castle Gardens  	 friday-1
Craigmillar Castle Loan  	 friday-1
Craigmillar Castle Road  	 friday-1
Craigmount Avenue  	 thursday-2
Craigmount Avenue North  	 thursday-2
Craigmount Bank  	 thursday-2
Craigmount Bank West  	 thursday-2
Craigmount Brae  	 thursday-2
Craigmount Court  	 thursday-2
Craigmount Crescent  	 thursday-2
Craigmount Drive  	 thursday-2
Craigmount Gardens  	 thursday-2
Craigmount Grove  	 thursday-2
Craigmount Grove North  	 thursday-2
Craigmount Hill  	 thursday-2
Craigmount Loan  	 thursday-2
Craigmount Park  	 thursday-2
Craigmount Place  	 thursday-2
Craigmount Terrace  	 thursday-2
Craigmount View  	 thursday-2
Craigmount Way  	 thursday-2
Craigmuir Place  	 tuesday-1
Craigour Avenue  	 thursday-1
Craigour Crescent  	 thursday-1
Craigour Drive  	 thursday-1
Craigour Gardens  	 thursday-1
Craigour Grove  	 thursday-1
Craigour Loan  	 thursday-1
Craigour Terrace  	 thursday-1
Craigpark Avenue  	 thursday-1
Craigpark Crescent  	 thursday-1
Craigroyston Grove  	 tuesday-1
Craigroyston Place  	 tuesday-1
Craigs Avenue  	 thursday-2
Craigs Bank  	 thursday-2
Craigs Crescent  	 thursday-2
Craigs Drive  	 thursday-2
Craigs Gardens  	 thursday-2
Craigs Grove  	 thursday-2
Craigs Loan  	 thursday-2
Craigs Park  	 thursday-2
Cramond Avenue  	 friday-1
Cramond Bank  	 friday-1
Cramond Bridge  	 friday-1
Cramond Brig Toll  	 friday-1
Cramond Crescent  	 friday-1
Cramond Gardens  	 friday-1
Cramond Glebe Gardens  	 friday-1
Cramond Glebe Road  	 friday-1
Cramond Glebe Terrace  	 friday-1
Cramond Green  	 friday-1
Cramond Grove  	 friday-1
Cramond Park  	 friday-1
Cramond Place  	 friday-1
Cramond Regis  	 friday-1
Cramond Road North  	 friday-1
Cramond Road South  	 friday-1
Cramond Terrace  	 friday-1
Cramond Vale  	 friday-1
Cramond Village  	 friday-1
Crarae Avenue  	 friday-2
Craw Yard Drive  	 thursday-2
Craw Yard Place  	 thursday-2
Craw's Close  	 thursday-1
Crawford Gait  	 thursday-1
Crawford Green  	 thursday-1
Crawfurd Road  	 thursday-2
Crewe Bank  	 tuesday-1
Crewe Crescent  	 tuesday-1
Crewe Grove  	 tuesday-1
Crewe Loan  	 tuesday-1
Crewe Place  	 tuesday-1
Crewe Road Gardens  	 tuesday-1
Crewe Road North  	 tuesday-1
Crewe Road South  	 friday-2
Crewe Road West  	 tuesday-1
Crewe Terrace  	 tuesday-1
Cromwell Place  	 wednesday-1
Crookston Crescent  	 wednesday-1
Crosswood Avenue  	 wednesday-1
Crosswood Crescent  	 wednesday-1
Cullet Walk  	 friday-2
Cumberland Street  	 wednesday-1
Cumberland Street North East Lane  	 wednesday-1
Cumberland Street North West Lane  	 wednesday-1
Cumberland Street South East Lane  	 wednesday-1
Cumberland Street South West Lane  	 wednesday-1
Cumin Place  	 tuesday-2
Cumlodden Avenue  	 friday-2
Cumnor Crescent  	 thursday-2
Cunningham Square  	 friday-2
Curriehill Castle Drive  	 wednesday-1
Curriehill Road  	 wednesday-1
Currievale Drive  	 wednesday-1
Currievale Farm  	 wednesday-1
Currievale Park  	 wednesday-1
Currievale Park Grove  	 wednesday-1
Custom House Place  	 tuesday-2
Daiches Braes  	 friday-2
Daisy Terrace  	 tuesday-2
Dalhousie Terrace  	 tuesday-1
Dalkeith Road Mews  	 wednesday-1
Dalkeith Street  	 friday-2
Dalmahoy  	 thursday-1
Dalmahoy Crescent  	 wednesday-1
Dalmahoy Road  	 thursday-1
Dalmeny Estate  	 thursday-1
Dalmeny Road  	 tuesday-2
Dalmeny Street  	 wednesday-1
Dalry Road  	 tuesday-2
Dalrymple Crescent  	 tuesday-2
Damselfly Road  	 wednesday-1
Damselfly View  	 wednesday-1
Dania Court  	 thursday-2
Danube Street  	 tuesday-1
Darnaway Street  	 wednesday-1
Darnell Road  	 tuesday-2
Darnley Terrace  	 friday-1
Davidson Gardens  	 friday-1
Davidson Park  	 friday-2
Davidson Road  	 friday-2
Davies Row  	 friday-1
Daybell Loan  	 thursday-1
Dean Bridge  	 wednesday-1
Dean Park Crescent  	 wednesday-1
Dean Park Mews  	 tuesday-1
Dean Path  	 wednesday-1
Dean Street  	 wednesday-1
Dean Terrace  	 tuesday-1
Deanery Close  	 wednesday-2
Deanhaugh Street  	 wednesday-1
Deanpark Avenue  	 wednesday-1
Deanpark Bank  	 wednesday-1
Deanpark Brae  	 wednesday-1
Deanpark Court  	 wednesday-1
Deanpark Crescent  	 wednesday-1
Deanpark Gardens  	 wednesday-1
Deanpark Grove  	 wednesday-1
Deanpark Place  	 wednesday-1
Deanpark Square  	 wednesday-1
Dechmont Road  	 thursday-2
Dell Road  	 wednesday-1
Denham Green Avenue  	 tuesday-2
Denham Green Place  	 tuesday-2
Denham Green Terrace  	 tuesday-2
Derby Street  	 wednesday-1
Devon Gardens  	 tuesday-2
Devon Place  	 tuesday-2
Dewar Place Lane  	 tuesday-1
Dick Place  	 tuesday-2
Dimma Park  	 thursday-1
Dinmont Drive  	 friday-1
Dochart Drive  	 friday-1
Dock Street  	 wednesday-1
Dolphin Avenue  	 wednesday-1
Dolphin Gardens East  	 wednesday-1
Dolphin Gardens West  	 wednesday-1
Dolphin Road  	 wednesday-1
Donaldson Crescent  	 tuesday-2
Dorset Place  	 tuesday-2
Double Hedges Park  	 thursday-2
Double Hedges Road  	 thursday-2
Douglas Crescent  	 tuesday-1
Douglas Gardens  	 tuesday-1
Douglas Gardens Mews  	 tuesday-1
Douglas Terrace  	 tuesday-1
Doune Terrace  	 wednesday-1
Dovecot Grove  	 tuesday-2
Dovecot Loan  	 tuesday-2
Dovecot Park  	 wednesday-1
Dovecot Road  	 friday-1
Dowies Mill Lane  	 friday-1
Downie Grove  	 friday-1
Downie Terrace  	 friday-1
Dreghorn Cottages  	 wednesday-1
Dreghorn Drive  	 wednesday-2
Dreghorn Gardens  	 wednesday-2
Dreghorn Grove  	 wednesday-2
Dreghorn Link  	 wednesday-2
Dreghorn Loan  	 wednesday-2
Dreghorn Park  	 wednesday-1
Dreghorn Place  	 wednesday-2
Drum Avenue  	 thursday-1
Drum Brae Avenue  	 friday-1
Drum Brae Crescent  	 friday-1
Drum Brae Drive  	 friday-1
Drum Brae Gardens  	 friday-1
Drum Brae Grove  	 friday-1
Drum Brae Neuk  	 friday-1
Drum Brae Park  	 friday-1
Drum Brae Park Approach  	 friday-1
Drum Brae Place  	 friday-1
Drum Brae Terrace  	 friday-1
Drum Brae Walk  	 thursday-2
Drum Cottages  	 thursday-1
Drum Crescent  	 thursday-1
Drum Place  	 thursday-1
Drum Street  	 thursday-1
Drum Woods  	 thursday-1
Drummond Place  	 wednesday-1
Drumsheugh Gardens  	 tuesday-1
Drumsheugh Place  	 tuesday-1
Dryden Gait  	 wednesday-1
Dryden Gardens  	 wednesday-1
Dryden Place  	 wednesday-1
Dryden Street  	 wednesday-1
Dryden Terrace  	 wednesday-1
Drylaw Avenue  	 friday-2
Drylaw Crescent  	 friday-2
Drylaw Gardens  	 friday-2
Drylaw Green  	 friday-2
Drylaw Grove  	 friday-2
Drylaw House Gardens  	 friday-2
Drylaw House Paddock  	 friday-2
Duart Crescent  	 friday-1
Dublin Meuse  	 wednesday-1
Dublin Street  	 wednesday-1
Dublin Street Lane North  	 wednesday-1
Dublin Street Lane South  	 wednesday-1
Duddingston Avenue  	 friday-2
Duddingston Crescent  	 friday-2
Duddingston Gardens North  	 friday-2
Duddingston Gardens South  	 friday-2
Duddingston Grove East  	 friday-2
Duddingston Grove West  	 friday-2
Duddingston Loan  	 friday-2
Duddingston Mains Cottages  	 friday-2
Duddingston Mills  	 friday-2
Duddingston Park  	 friday-2
Duddingston Park South  	 friday-2
Duddingston Rise  	 friday-2
Duddingston Road  	 friday-2
Duddingston Road West  	 friday-1
Duddingston Row  	 friday-2
Duddingston Square East  	 friday-2
Duddingston Square West  	 friday-2
Duddingston View  	 friday-2
Dudgeon Place  	 thursday-1
Dudley Avenue  	 wednesday-1
Dudley Avenue South  	 wednesday-1
Dudley Bank  	 wednesday-1
Dudley Crescent  	 wednesday-1
Dudley Gardens  	 wednesday-1
Dudley Grove  	 wednesday-1
Dudley Terrace  	 wednesday-1
Duke's Walk  	 wednesday-2
Dumbeg Park  	 wednesday-2
Dumbryden Drive  	 wednesday-2
Dumbryden Gardens  	 wednesday-2
Duncan Street  	 tuesday-2
Duncombe Road  	 wednesday-2
Dundas Avenue  	 thursday-1
Dundas Estate  	 thursday-1
Dundas Home Farm  	 thursday-1
Dundas Place  	 thursday-1
Dundas Street  	 wednesday-1
Dundee Terrace  	 tuesday-1
Dundrennan Cottages  	 friday-1
Dunedin Street  	 wednesday-1
Dunipace Road  	 thursday-2
Dunkeld Street  	 friday-1
Dunkirk Road  	 friday-1
Dunlaw Wynd  	 thursday-2
Dunnet Grove  	 thursday-1
Dunnikier Lane  	 thursday-2
Dunnikier Way  	 thursday-2
Dunollie Court  	 thursday-2
Dunrobin Place  	 tuesday-1
Dunsmuir Court  	 friday-1
Duntreath Crescent  	 friday-1
Duntreath Place  	 friday-1
Duntreath Road  	 friday-1
Dunvegan Court  	 friday-1
Durar Drive  	 friday-1
Durham Avenue  	 friday-2
Durham Drive  	 friday-2
Durham Gardens North  	 friday-2
Durham Gardens South  	 friday-2
Durham Grove  	 friday-2
Durham Place East  	 friday-2
Durham Road  	 friday-2
Durham Road South  	 friday-2
Durham Square  	 friday-2
Durham Terrace  	 friday-2
Durie Loan  	 thursday-1
Durward Grove  	 friday-1
Earl Grey Street  	 tuesday-1
Earl Haig Gardens  	 tuesday-1
East Adam Street  	 friday-1
East Barnton Avenue  	 friday-1
East Barnton Gardens  	 friday-1
East Briggers Brae  	 thursday-1
East Brighton Crescent  	 friday-2
East Broughton Place  	 wednesday-1
East Caiystane Place  	 tuesday-1
East Caiystane Road  	 tuesday-1
East Camus Place  	 tuesday-1
East Castle Road  	 tuesday-2
East Champanyie  	 tuesday-2
East Clapperfield  	 thursday-2
East Claremont Street  	 wednesday-1
East Comiston  	 tuesday-1
East Craigs Rigg  	 thursday-2
East Craigs Wynd  	 thursday-2
East Croft  	 thursday-1
East Farm Of Gilmerton  	 thursday-1
East Fettes Avenue  	 tuesday-2
East Hannahfield  	 wednesday-1
East Hermiston  	 thursday-1
East Hermitage Place  	 wednesday-1
East Kilngate Place  	 thursday-1
East Kilngate Rigg  	 thursday-1
East Kilngate Wynd  	 thursday-1
East Lillypot  	 tuesday-2
East London Street  	 wednesday-1
East Mayfield  	 wednesday-1
East Newington Place  	 wednesday-1
East Parkside  	 friday-1
East Pilton Farm Crescent  	 tuesday-2
East Pilton Farm Wynd  	 tuesday-2
East Restalrig Terrace  	 wednesday-1
East Rigg Farm  	 wednesday-1
East Savile Road  	 tuesday-2
East Suffolk Park  	 thursday-2
East Suffolk Road  	 thursday-2
East Terrace  	 thursday-1
East Trinity Road  	 tuesday-2
East Werberside  	 tuesday-1
East Werberside Place  	 tuesday-1
Easter Belmont Road  	 friday-1
Easter Currie Court  	 wednesday-1
Easter Currie Crescent  	 wednesday-1
Easter Currie Place  	 wednesday-1
Easter Currie Terrace  	 wednesday-1
Easter Dalmeny  	 thursday-1
Easter Dalmeny Cottages  	 thursday-1
Easter Drylaw Avenue  	 friday-2
Easter Drylaw Bank  	 friday-2
Easter Drylaw Drive  	 friday-2
Easter Drylaw Gardens  	 friday-2
Easter Drylaw Grove  	 friday-2
Easter Drylaw Loan  	 friday-2
Easter Drylaw Place  	 friday-2
Easter Drylaw View  	 friday-2
Easter Drylaw Way  	 friday-2
Easter Hermitage  	 wednesday-1
Easter Park Drive  	 friday-1
Easter Road  	 wednesday-2
Easter Steil  	 tuesday-1
Easter Warriston  	 tuesday-1
Eastfield  	 friday-2
Eastfield Gardens  	 friday-2
Eastfield Place  	 friday-2
Eastfield Road  	 thursday-1
Echline  	 thursday-1
Echline Drive  	 thursday-1
Echline Gardens  	 thursday-1
Echline Green  	 thursday-1
Echline Grove  	 thursday-1
Echline Park  	 thursday-1
Echline Place  	 thursday-1
Echline Terrace  	 thursday-1
Echline View  	 thursday-1
Eden Lane  	 tuesday-1
Eden Terrace  	 tuesday-1
Edgelaw Rigg  	 thursday-2
Edinburgh Road  	 thursday-1
Edwards Wynd  	 wednesday-1
Egan Terrace  	 friday-1
Eglinton Crescent  	 tuesday-1
Egypt Mews  	 tuesday-1
Eildon Street  	 tuesday-1
Eildon Terrace  	 tuesday-2
Eilston Drive  	 thursday-1
Eilston Loan  	 thursday-1
Eilston Road  	 thursday-1
Eilston Terrace  	 thursday-1
Elbe Street  	 wednesday-1
Elcho Terrace  	 friday-2
Electra Place  	 friday-2
Elgin Street  	 wednesday-2
Eliza Wigham Bow  	 wednesday-1
Eliza Wigham Place  	 wednesday-1
Ellangowan Terrace  	 friday-1
Ellen's Glen Loan  	 thursday-1
Ellen's Glen Road  	 thursday-2
Ellersly Road  	 friday-2
Elliot Gardens  	 wednesday-2
Elliot Park  	 wednesday-2
Elliot Place  	 wednesday-2
Elliot Road  	 wednesday-2
Ellis Drive  	 wednesday-2
Ellis Street  	 thursday-2
Elm Place  	 wednesday-1
Elmwood Terrace  	 wednesday-1
Eltringham Gardens  	 tuesday-2
Eltringham Grove  	 tuesday-2
Eltringham Terrace  	 tuesday-1
Erroll Drive  	 friday-1
Esdaile Bank  	 tuesday-1
Esdaile Park  	 tuesday-1
Esplanade Terrace  	 friday-1
Essendean Place  	 friday-1
Essex Brae  	 friday-1
Essex Park  	 friday-1
Essex Road  	 friday-1
Esslemont Road  	 thursday-2
Ethel Terrace  	 tuesday-1
Eton Terrace  	 tuesday-1
Ettrick Grove  	 tuesday-2
Ettrick Loan  	 tuesday-2
Ettrick Road  	 tuesday-2
Ettrickdale Place  	 tuesday-1
Eva Place  	 tuesday-2
Ewerland  	 friday-1
Eyre Crescent  	 wednesday-1
Eyre Place  	 wednesday-1
Eyre Place Lane  	 wednesday-1
Eyre Terrace  	 wednesday-1
Fair-A-Far  	 friday-1
Fair-A-Far Shot  	 friday-1
Fairbairn Street  	 wednesday-1
Fairbrae  	 thursday-2
Fairfield Gardens  	 tuesday-1
Fairford Gardens  	 friday-1
Fairholm Mews  	 tuesday-2
Fairley Wynd  	 thursday-2
Fairmile Avenue  	 tuesday-1
Fala Place  	 thursday-2
Falkland Gardens  	 friday-1
Farquhar Terrace  	 thursday-1
Farrer Grove  	 wednesday-2
Farrer Terrace  	 wednesday-2
Fauldburn  	 thursday-2
Fauldburn Park  	 thursday-2
Featherhall Avenue  	 friday-1
Featherhall Crescent North  	 friday-1
Featherhall Crescent South  	 friday-1
Featherhall Grove  	 friday-1
Featherhall Place  	 friday-1
Featherhall Road  	 friday-1
Featherhall Terrace  	 friday-1
Ferguson Rigg  	 wednesday-1a
Fernieflat Neuk  	 wednesday-2
Ferniehill Avenue  	 thursday-1
Ferniehill Drive  	 thursday-1
Ferniehill Gardens  	 thursday-1
Ferniehill Grove  	 thursday-1
Ferniehill Place  	 thursday-1
Ferniehill Road  	 thursday-1
Ferniehill Square  	 thursday-1
Ferniehill Street  	 thursday-1
Ferniehill Terrace  	 thursday-1
Ferniehill Way  	 thursday-1
Fernielaw Avenue  	 wednesday-2
Fernieside Avenue  	 thursday-1
Fernieside Crescent  	 thursday-1
Fernieside Drive  	 thursday-1
Fernieside Gardens  	 thursday-1
Fernieside Grove  	 thursday-1
Fernieside Place  	 thursday-1
Ferrier Medway  	 wednesday-1
Ferry Gait Drive  	 tuesday-1
Ferry Gait Gardens  	 tuesday-1
Ferry Gait Walk  	 tuesday-1
Ferry Road  	 friday-2
Ferry Road Drive  	 tuesday-1
Ferry Road Gardens  	 tuesday-1
Ferry Road Grove  	 tuesday-1
Ferry Road Place  	 tuesday-1
Ferryburn  	 thursday-1
Ferryburn Green  	 thursday-1
Ferryfield  	 tuesday-2
Ferrymuir Gait  	 thursday-1
Ferrymuir Lane  	 thursday-1
Fettes Rise  	 tuesday-2
Fettes Row  	 wednesday-1
Figgate Lane  	 friday-2
Figgate Street  	 friday-1
Fillyside Avenue  	 wednesday-2
Fillyside Road  	 wednesday-2
Fillyside Terrace  	 wednesday-2
Findhorn Place  	 tuesday-2
Findlay Avenue  	 wednesday-1
Findlay Cottages  	 wednesday-1
Findlay Gardens  	 wednesday-1
Findlay Grove  	 wednesday-1
Findlay Medway  	 wednesday-1
Fingal Place  	 tuesday-1
Fingzies Place  	 wednesday-1
Finlaggan Court  	 thursday-2
Fireclay Walk  	 friday-1
Firrhill Crescent  	 tuesday-1
Firrhill Drive  	 tuesday-1
Firrhill Loan  	 tuesday-1
Firrhill Neuk  	 tuesday-1
Firrhill Park  	 tuesday-1
Fisher Place  	 thursday-2
Fishmarket Square  	 wednesday-1
Fishwives Causeway  	 friday-1
Fleming Place  	 wednesday-1
Fletcher Crescent  	 wednesday-1
Flint Terrace  	 friday-2
Flockhart Gait  	 wednesday-1a
Forbes Road  	 tuesday-2
Forbes Street  	 friday-1
Ford's Road  	 wednesday-2
Fordell Road  	 wednesday-1
Fordell Walk  	 wednesday-1
Forres Street  	 wednesday-1
Forrester Park Avenue  	 friday-1
Forrester Park Drive  	 friday-1
Forrester Park Gardens  	 friday-1
Forrester Park Green  	 friday-1
Forrester Park Grove  	 friday-1
Forrester Park Loan  	 friday-1
Forrester Road  	 friday-1
Forth Park  	 thursday-1
Forth Place  	 thursday-1
Forth Street  	 wednesday-1
Forth Terrace  	 thursday-1
Forth View Avenue  	 wednesday-1
Forth View Crescent  	 wednesday-1
Forth View Road  	 wednesday-1
Forthview Road  	 friday-2
Forthview Terrace  	 friday-2
Foulis Crescent  	 wednesday-1
Fountainhall Road  	 tuesday-2
Fox Covert Avenue  	 friday-1
Fox Covert Grove  	 friday-1
Fox Spring Crescent  	 tuesday-1
Fox Spring Rise  	 tuesday-1
Foxhall  	 thursday-1
Foxhall Gait  	 thursday-1
Foxhall View  	 thursday-1
Fraser Avenue  	 tuesday-2
Fraser Crescent  	 tuesday-2
Fraser Gardens  	 tuesday-2
Fraser Grove  	 tuesday-2
Freelands Road  	 thursday-1
Freelands Way  	 thursday-1
Friary Road  	 friday-1
Frogston Avenue  	 tuesday-1
Frogston Gardens  	 tuesday-1
Frogston Grove  	 tuesday-1
Frogston Road East  	 thursday-1
Frogston Road West  	 tuesday-1
Frogston Terrace  	 tuesday-1
Furcheons Park  	 friday-2
Fyfe Way  	 thursday-1
Galachlaw Shot  	 tuesday-1
Galachlawside  	 tuesday-1
Galvane Road  	 friday-1
Gamekeeper's Loan  	 friday-1
Gamekeeper's Park  	 friday-1
Gamekeeper's Road  	 friday-1
Garden Terrace  	 friday-1
Gardiner Grove  	 friday-2
Gardiner Road  	 friday-2
Gardiner Terrace  	 friday-2
Garscube Terrace  	 friday-2
Garvald Street  	 thursday-2
Gaskell Street  	 wednesday-2
Gayfield Close  	 wednesday-1
Gayfield Place  	 wednesday-1
Gayfield Place Lane  	 wednesday-1
Gayfield Square  	 wednesday-1
Gayfield Street  	 wednesday-1
George Square  	 friday-1
Gifford Crescent  	 wednesday-1
Gilberstoun  	 friday-2
Gilberstoun Brig  	 friday-2
Gilberstoun Loan  	 friday-2
Gilberstoun Place  	 friday-2
Gilberstoun Wynd  	 friday-2
Giles Street  	 wednesday-1
Gillerhill  	 thursday-1
Gillespie Street  	 tuesday-2
Gillon Drive  	 wednesday-1
Gillsland Park  	 tuesday-1
Gillsland Road  	 tuesday-2
Gilmerton Dykes Avenue  	 thursday-1
Gilmerton Dykes Crescent  	 thursday-1
Gilmerton Dykes Drive  	 thursday-1
Gilmerton Dykes Gardens  	 thursday-1
Gilmerton Dykes Grove  	 thursday-1
Gilmerton Dykes Loan  	 thursday-1
Gilmerton Dykes Place  	 thursday-1
Gilmerton Dykes Road  	 thursday-1
Gilmerton Dykes Street  	 thursday-1
Gilmerton Dykes Terrace  	 thursday-1
Gilmerton Dykes View  	 thursday-1
Gilmerton Place  	 thursday-1
Gilmerton Station Road  	 thursday-1
Gilmore Place  	 tuesday-2
Gladhouse Place  	 tuesday-1
Gladstone Terrace  	 tuesday-1
Glasgow Road  	 thursday-1
Glebe Gardens  	 friday-1
Glebe Grove  	 friday-1
Glebe Road  	 friday-1
Glebe Terrace  	 friday-1
Glenallan Drive  	 friday-1
Glenallan Loan  	 friday-1
Glenalmond Place  	 thursday-2
Glenarm Place  	 wednesday-1
Glenbrook  	 wednesday-1
Glenbrook Road  	 wednesday-1
Glencairn Crescent  	 tuesday-1
Glendevon Avenue  	 friday-2
Glendevon Gardens  	 friday-1
Glendevon Grove  	 friday-1
Glendevon Park  	 friday-2
Glendevon Place  	 friday-2
Glendevon Road  	 friday-2
Glendevon Terrace  	 friday-1
Glendinning Crescent  	 thursday-2
Glendinning Drive  	 thursday-1
Glendinning Place  	 thursday-1
Glendinning Road  	 thursday-1
Glendinning Way  	 thursday-1
Glenfinlas Street  	 wednesday-1
Glenisla Gardens  	 tuesday-2
Glenisla Gardens Lane  	 tuesday-1
Glenlea Cottages  	 tuesday-2
Glenlee Avenue  	 wednesday-1
Glenlee Gardens  	 wednesday-1
Glenlockhart Bank  	 wednesday-2
Glenlockhart Road  	 wednesday-2
Glenlockhart Valley  	 wednesday-2
Glennie Road  	 wednesday-1a
Glenogle House  	 tuesday-1
